filename	id	input	canonical	desired_ipa	kokoro_phonemes	token_ids	voice	speed	warnings
cmp_joined_hf_alpha.wav	cmp_joined	kaɾmaɳjeːʋaːdʰikaːɾasteː	(raw phonemes)	kaɾmaɳjeːʋaːdʰikaːɾasteː	kaɾmaɳjeːʋaːdʰikaːɾasteː	53 43 125 55 43 113 52 47 158 136 43 158 46 162 51 53 43 158 125 43 61 62 47 158	hf_alpha	1.0	
cmp_split_hf_alpha.wav	cmp_split	kaɾmaɳjeːʋa aːdʰikaːɾasteː	(raw phonemes)	kaɾmaɳjeːʋa aːdʰikaːɾasteː	kaɾmaɳjeːʋa aːdʰikaːɾasteː	53 43 125 55 43 113 52 47 158 136 43 16 43 158 46 162 51 53 43 158 125 43 61 62 47 158	hf_alpha	1.0	
cmp_stress_hf_alpha.wav	cmp_stress	kaɾmaɳjeːʋaːdʰikaːɾˈasteː	(raw phonemes)	kaɾmaɳjeːʋaːdʰikaːɾˈasteː	kaɾmaɳjeːʋaːdʰikaːɾˈasteː	53 43 125 55 43 113 52 47 158 136 43 158 46 162 51 53 43 158 125 156 43 61 62 47 158	hf_alpha	1.0	
cmp2_joined_hf_alpha.wav	cmp2_joined	kaɾmapʰalaheːtuɾbʰuːɾmaː	(raw phonemes)	kaɾmapʰalaheːtuɾbʰuːɾmaː	kaɾmapʰalaheːtuɾbʰuːɾmaː	53 43 125 55 43 58 162 43 54 43 50 47 158 62 63 125 44 162 63 158 125 55 43 158	hf_alpha	1.0	
cmp2_split_hf_alpha.wav	cmp2_split	kaɾma pʰala heːtuɾ bʰuːɾmaː	(raw phonemes)	kaɾma pʰala heːtuɾ bʰuːɾmaː	kaɾma pʰala heːtuɾ bʰuːɾmaː	53 43 125 55 43 16 58 162 43 54 43 16 50 47 158 62 63 125 16 44 162 63 158 125 55 43 158	hf_alpha	1.0	
cmp3_joined_hf_alpha.wav	cmp3_joined	abʰjuttʰaːnamadʰaɾmasja	(raw phonemes)	abʰjuttʰaːnamadʰaɾmasja	abʰjuttʰaːnamadʰaɾmasja	43 44 162 52 63 62 62 162 43 158 56 43 55 43 46 162 43 125 55 43 61 52 43	hf_alpha	1.0	
cmp3_split_hf_alpha.wav	cmp3_split	abʰjuttʰaːnam adʰaɾmasja	(raw phonemes)	abʰjuttʰaːnam adʰaɾmasja	abʰjuttʰaːnam adʰaɾmasja	43 44 162 52 63 62 62 162 43 158 56 43 55 16 43 46 162 43 125 55 43 61 52 43	hf_alpha	1.0	
