file	text	syllables	guru_laghu	matras	holding_points	phonemes	tokens	duration_changes	voice	speed	warnings
bg_01_01_current.wav	धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः । मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय ॥	32	GGGGLGGGLLGGLGLGGLGGLGGLLLGLLGLL	50	Dar mak zet ruk zet yut pAR vAS kur saY	dʰaɾmakʂeːtɾeː kuɾukʂeːtɾeː samaʋeːtaː jujutsaʋah, maːmakaːh paːɳɖaʋaːʃcaɪʋa kimakuɾʋata saɲɟaja.	46 162 43 125 55 43 53 130 47 158 62 125 47 158 16 53 63 125 63 53 130 47 158 62 125 47 158 16 61 43 55 43 136 47 158 62 43 158 16 52 63 52 63 62 61 43 136 43 50 3 16 55 43 158 55 43 53 43 158 50 16 58 43 158 113 80 43 136 43 158 131 45 43 102 136 43 16 53 51 55 43 53 63 125 136 43 62 43 16 61 43 114 90 43 52 43 4	none (model prediction stands)	hf_alpha	0.8	KOKORO_APPROXIMATED_VISARGA: ḥ → h (the traditional echo vowel is unspellable in Kokoro; h alone avoids a spurious syllable) | KOKORO_APPROXIMATED_VISARGA: ḥ → h (word-internal visarga; Kokoro has no voiceless fricative for it)
bg_01_01_slow.wav	धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः । मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय ॥	32	GGGGLGGGLLGGLGLGGLGGLGGLLLGLLGLL	50	Dar mak zet ruk zet yut pAR vAS kur saY	dʰaɾmakʂeːtɾeː kuɾukʂeːtɾeː samaʋeːtaː jujutsaʋah, maːmakaːh paːɳɖaʋaːʃcaɪʋa kimakuɾʋata saɲɟaja.	46 162 43 125 55 43 53 130 47 158 62 125 47 158 16 53 63 125 63 53 130 47 158 62 125 47 158 16 61 43 55 43 136 47 158 62 43 158 16 52 63 52 63 62 61 43 136 43 50 3 16 55 43 158 55 43 53 43 158 50 16 58 43 158 113 80 43 136 43 158 131 45 43 102 136 43 16 53 51 55 43 53 63 125 136 43 62 43 16 61 43 114 90 43 52 43 4	none (model prediction stands)	hf_alpha	0.76	KOKORO_APPROXIMATED_VISARGA: ḥ → h (the traditional echo vowel is unspellable in Kokoro; h alone avoids a spurious syllable) | KOKORO_APPROXIMATED_VISARGA: ḥ → h (word-internal visarga; Kokoro has no voiceless fricative for it)
bg_01_01_prosody.wav	धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः । मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय ॥	32	GGGGLGGGLLGGLGLGGLGGLGGLLLGLLGLL	50	Dar mak zet ruk zet yut pAR vAS kur saY	dʰaɾmakʂeːtɾeː kuɾukʂeːtɾeː samaʋeːtaː jujutsaʋah, maːmakaːh paːɳɖaʋaːʃcaɪʋa kimakuɾʋata saɲɟaja.	46 162 43 125 55 43 53 130 47 158 62 125 47 158 16 53 63 125 63 53 130 47 158 62 125 47 158 16 61 43 55 43 136 47 158 62 43 158 16 52 63 52 63 62 61 43 136 43 50 3 16 55 43 158 55 43 53 43 158 50 16 58 43 158 113 80 43 136 43 158 131 45 43 102 136 43 16 53 51 55 43 53 63 125 136 43 62 43 16 61 43 114 90 43 52 43 4	guru vowel ×1.15, laghu ×0.92, held coda ×1.2, aspiration ×1.15	hf_alpha	0.8	KOKORO_APPROXIMATED_VISARGA: ḥ → h (the traditional echo vowel is unspellable in Kokoro; h alone avoids a spurious syllable) | KOKORO_APPROXIMATED_VISARGA: ḥ → h (word-internal visarga; Kokoro has no voiceless fricative for it)
bg_02_47_current.wav	कर्मण्येवाधिकारस्ते मा फलेषु कदाचन । मा कर्मफलहेतुर्भूर्मा ते सङ्गोऽस्त्वकर्मणि ॥	32	GGGGLGGGGLGLLGLLGGLLLGGGGGGGLGLL	52	kar maR ras kar tur BUr saN gost kar	kaɾmaɳjeːʋaːdʰikaːɾasteː maː pʰaleːʂu kadaːcana, maː kaɾmapʰalaheːtuɾbʰuːɾmaː teː saŋɡoːstʋakaɾmaɳi.	53 43 125 55 43 113 52 47 158 136 43 158 46 162 51 53 43 158 125 43 61 62 47 158 16 55 43 158 16 58 162 43 54 47 158 130 63 16 53 43 46 43 158 45 43 56 43 3 16 55 43 158 16 53 43 125 55 43 58 162 43 54 43 50 47 158 62 63 125 44 162 63 158 125 55 43 158 16 62 47 158 16 61 43 112 92 57 158 61 62 136 43 53 43 125 55 43 113 51 4	none (model prediction stands)	hf_alpha	0.8	
bg_02_47_slow.wav	कर्मण्येवाधिकारस्ते मा फलेषु कदाचन । मा कर्मफलहेतुर्भूर्मा ते सङ्गोऽस्त्वकर्मणि ॥	32	GGGGLGGGGLGLLGLLGGLLLGGGGGGGLGLL	52	kar maR ras kar tur BUr saN gost kar	kaɾmaɳjeːʋaːdʰikaːɾasteː maː pʰaleːʂu kadaːcana, maː kaɾmapʰalaheːtuɾbʰuːɾmaː teː saŋɡoːstʋakaɾmaɳi.	53 43 125 55 43 113 52 47 158 136 43 158 46 162 51 53 43 158 125 43 61 62 47 158 16 55 43 158 16 58 162 43 54 47 158 130 63 16 53 43 46 43 158 45 43 56 43 3 16 55 43 158 16 53 43 125 55 43 58 162 43 54 43 50 47 158 62 63 125 44 162 63 158 125 55 43 158 16 62 47 158 16 61 43 112 92 57 158 61 62 136 43 53 43 125 55 43 113 51 4	none (model prediction stands)	hf_alpha	0.76	
bg_02_47_prosody.wav	कर्मण्येवाधिकारस्ते मा फलेषु कदाचन । मा कर्मफलहेतुर्भूर्मा ते सङ्गोऽस्त्वकर्मणि ॥	32	GGGGLGGGGLGLLGLLGGLLLGGGGGGGLGLL	52	kar maR ras kar tur BUr saN gost kar	kaɾmaɳjeːʋaːdʰikaːɾasteː maː pʰaleːʂu kadaːcana, maː kaɾmapʰalaheːtuɾbʰuːɾmaː teː saŋɡoːstʋakaɾmaɳi.	53 43 125 55 43 113 52 47 158 136 43 158 46 162 51 53 43 158 125 43 61 62 47 158 16 55 43 158 16 58 162 43 54 47 158 130 63 16 53 43 46 43 158 45 43 56 43 3 16 55 43 158 16 53 43 125 55 43 58 162 43 54 43 50 47 158 62 63 125 44 162 63 158 125 55 43 158 16 62 47 158 16 61 43 112 92 57 158 61 62 136 43 53 43 125 55 43 113 51 4	guru vowel ×1.15, laghu ×0.92, held coda ×1.2, aspiration ×1.15	hf_alpha	0.8	
bg_04_07_current.wav	यदा यदा हि धर्मस्य ग्लानिर्भवति भारत । अभ्युत्थानमधर्मस्य तदात्मानं सृजाम्यहम् ॥	32	LGLGLGGLGGLLLGLLGGGLLGGLLGGGLGLG	49	Dar mas nir aB yut Dar mas dAt jAm ham	jadaː jadaː hi dʰaɾmasja ɡlaːniɾbʰaʋati bʰaːɾata, abʰjuttʰaːnamadʰaɾmasja tadaːtmaːnã sɾɪɟaːmjaham.	52 43 46 43 158 16 52 43 46 43 158 16 50 51 16 46 162 43 125 55 43 61 52 43 16 92 54 43 158 56 51 125 44 162 43 136 43 62 51 16 44 162 43 158 125 43 62 43 3 16 43 44 162 52 63 62 62 162 43 158 56 43 55 43 46 162 43 125 55 43 61 52 43 16 62 43 46 43 158 62 55 43 158 56 43 17 16 61 125 102 90 43 158 55 52 43 50 43 55 4	none (model prediction stands)	hf_alpha	0.8	KOKORO_APPROXIMATION: anusvāra before a continuant → vowel nasalisation (Kokoro cannot spell a nasalised approximant) | KOKORO_APPROXIMATION: vocalic ṛ (ऋ) → ɾɪ (no syllabic diacritic in the Kokoro vocabulary)
bg_04_07_slow.wav	यदा यदा हि धर्मस्य ग्लानिर्भवति भारत । अभ्युत्थानमधर्मस्य तदात्मानं सृजाम्यहम् ॥	32	LGLGLGGLGGLLLGLLGGGLLGGLLGGGLGLG	49	Dar mas nir aB yut Dar mas dAt jAm ham	jadaː jadaː hi dʰaɾmasja ɡlaːniɾbʰaʋati bʰaːɾata, abʰjuttʰaːnamadʰaɾmasja tadaːtmaːnã sɾɪɟaːmjaham.	52 43 46 43 158 16 52 43 46 43 158 16 50 51 16 46 162 43 125 55 43 61 52 43 16 92 54 43 158 56 51 125 44 162 43 136 43 62 51 16 44 162 43 158 125 43 62 43 3 16 43 44 162 52 63 62 62 162 43 158 56 43 55 43 46 162 43 125 55 43 61 52 43 16 62 43 46 43 158 62 55 43 158 56 43 17 16 61 125 102 90 43 158 55 52 43 50 43 55 4	none (model prediction stands)	hf_alpha	0.76	KOKORO_APPROXIMATION: anusvāra before a continuant → vowel nasalisation (Kokoro cannot spell a nasalised approximant) | KOKORO_APPROXIMATION: vocalic ṛ (ऋ) → ɾɪ (no syllabic diacritic in the Kokoro vocabulary)
bg_04_07_prosody.wav	यदा यदा हि धर्मस्य ग्लानिर्भवति भारत । अभ्युत्थानमधर्मस्य तदात्मानं सृजाम्यहम् ॥	32	LGLGLGGLGGLLLGLLGGGLLGGLLGGGLGLG	49	Dar mas nir aB yut Dar mas dAt jAm ham	jadaː jadaː hi dʰaɾmasja ɡlaːniɾbʰaʋati bʰaːɾata, abʰjuttʰaːnamadʰaɾmasja tadaːtmaːnã sɾɪɟaːmjaham.	52 43 46 43 158 16 52 43 46 43 158 16 50 51 16 46 162 43 125 55 43 61 52 43 16 92 54 43 158 56 51 125 44 162 43 136 43 62 51 16 44 162 43 158 125 43 62 43 3 16 43 44 162 52 63 62 62 162 43 158 56 43 55 43 46 162 43 125 55 43 61 52 43 16 62 43 46 43 158 62 55 43 158 56 43 17 16 61 125 102 90 43 158 55 52 43 50 43 55 4	guru vowel ×1.15, laghu ×0.92, held coda ×1.2, aspiration ×1.15	hf_alpha	0.8	KOKORO_APPROXIMATION: anusvāra before a continuant → vowel nasalisation (Kokoro cannot spell a nasalised approximant) | KOKORO_APPROXIMATION: vocalic ṛ (ऋ) → ɾɪ (no syllabic diacritic in the Kokoro vocabulary)
