input	voice	speed	canonical	kokoro_phonemes	token_ids	audio_path	visarga_quality	vowel_length	vocalic_r	palatal_nasal	aspiration	cluster_clarity	consistency	failure_category
कर्मफलहेतुर्भूर्मा	af_heart	0.8	karmaPalaheturBUrmA	kaɾmapʰalaheːtuɾbʰuːɾmaː	53 43 125 55 43 58 162 43 54 43 50 47 158 62 63 12	diagnostics/voices-final/karmaphalahetur_af_heart_s0.80.wav	n/a	long vowel present in tokens	n/a	n/a	ʰ in tokens	12/8 nuclei	OK	NONE
कर्मफलहेतुर्भूर्मा	hf_alpha	0.8	karmaPalaheturBUrmA	kaɾmapʰalaheːtuɾbʰuːɾmaː	53 43 125 55 43 58 162 43 54 43 50 47 158 62 63 12	diagnostics/voices-final/karmaphalahetur_hf_alpha_s0.80.wav	n/a	long vowel present in tokens	n/a	n/a	ʰ in tokens	11/8 nuclei	OK	NONE
कर्मफलहेतुर्भूर्मा	hf_beta	0.8	karmaPalaheturBUrmA	kaɾmapʰalaheːtuɾbʰuːɾmaː	53 43 125 55 43 58 162 43 54 43 50 47 158 62 63 12	diagnostics/voices-final/karmaphalahetur_hf_beta_s0.80.wav	n/a	long vowel present in tokens	n/a	n/a	ʰ in tokens	7/8 nuclei	marginal	NONE
कर्मफलहेतुर्भूर्मा	hm_omega	0.8	karmaPalaheturBUrmA	kaɾmapʰalaheːtuɾbʰuːɾmaː	53 43 125 55 43 58 162 43 54 43 50 47 158 62 63 12	diagnostics/voices-final/karmaphalahetur_hm_omega_s0.80.wav	n/a	long vowel present in tokens	n/a	n/a	ʰ in tokens	9/8 nuclei	OK	NONE
कर्मफलहेतुर्भूर्मा	hm_psi	0.8	karmaPalaheturBUrmA	kaɾmapʰalaheːtuɾbʰuːɾmaː	53 43 125 55 43 58 162 43 54 43 50 47 158 62 63 12	diagnostics/voices-final/karmaphalahetur_hm_psi_s0.80.wav	n/a	long vowel present in tokens	n/a	n/a	ʰ in tokens	8/8 nuclei	OK	NONE
सङ्गोऽस्त्वकर्मणि	af_heart	0.8	saNgo'stvakarmaRi	saŋɡoːstʋakaɾmaɳi	61 43 112 92 57 158 61 62 136 43 53 43 125 55 43 1	diagnostics/voices-final/sangostvakarmani_af_heart_s0.80.wav	n/a	long vowel present in tokens	n/a	n/a	n/a	3/7 nuclei	poor	ACOUSTIC_MODEL_LIMITATION:CLUSTER
सङ्गोऽस्त्वकर्मणि	hf_alpha	0.8	saNgo'stvakarmaRi	saŋɡoːstʋakaɾmaɳi	61 43 112 92 57 158 61 62 136 43 53 43 125 55 43 1	diagnostics/voices-final/sangostvakarmani_hf_alpha_s0.80.wav	n/a	long vowel present in tokens	n/a	n/a	n/a	12/7 nuclei	OK	NONE
सङ्गोऽस्त्वकर्मणि	hf_beta	0.8	saNgo'stvakarmaRi	saŋɡoːstʋakaɾmaɳi	61 43 112 92 57 158 61 62 136 43 53 43 125 55 43 1	diagnostics/voices-final/sangostvakarmani_hf_beta_s0.80.wav	n/a	long vowel present in tokens	n/a	n/a	n/a	6/7 nuclei	marginal	NONE
सङ्गोऽस्त्वकर्मणि	hm_omega	0.8	saNgo'stvakarmaRi	saŋɡoːstʋakaɾmaɳi	61 43 112 92 57 158 61 62 136 43 53 43 125 55 43 1	diagnostics/voices-final/sangostvakarmani_hm_omega_s0.80.wav	n/a	long vowel present in tokens	n/a	n/a	n/a	6/7 nuclei	marginal	NONE
सङ्गोऽस्त्वकर्मणि	hm_psi	0.8	saNgo'stvakarmaRi	saŋɡoːstʋakaɾmaɳi	61 43 112 92 57 158 61 62 136 43 53 43 125 55 43 1	diagnostics/voices-final/sangostvakarmani_hm_psi_s0.80.wav	n/a	long vowel present in tokens	n/a	n/a	n/a	7/7 nuclei	OK	NONE
अभ्युत्थानम्	af_heart	0.8	aByutTAnam	abʰjuttʰaːnam	43 44 162 52 63 62 62 162 43 158 56 43 55	diagnostics/voices-final/abhyutthanam_af_heart_s0.80.wav	n/a	long vowel present in tokens	n/a	n/a	ʰ in tokens	7/4 nuclei	OK	NONE
अभ्युत्थानम्	hf_alpha	0.8	aByutTAnam	abʰjuttʰaːnam	43 44 162 52 63 62 62 162 43 158 56 43 55	diagnostics/voices-final/abhyutthanam_hf_alpha_s0.80.wav	n/a	long vowel present in tokens	n/a	n/a	ʰ in tokens	7/4 nuclei	OK	NONE
अभ्युत्थानम्	hf_beta	0.8	aByutTAnam	abʰjuttʰaːnam	43 44 162 52 63 62 62 162 43 158 56 43 55	diagnostics/voices-final/abhyutthanam_hf_beta_s0.80.wav	n/a	long vowel present in tokens	n/a	n/a	ʰ in tokens	7/4 nuclei	OK	NONE
अभ्युत्थानम्	hm_omega	0.8	aByutTAnam	abʰjuttʰaːnam	43 44 162 52 63 62 62 162 43 158 56 43 55	diagnostics/voices-final/abhyutthanam_hm_omega_s0.80.wav	n/a	long vowel present in tokens	n/a	n/a	ʰ in tokens	3/4 nuclei	marginal	NONE
अभ्युत्थानम्	hm_psi	0.8	aByutTAnam	abʰjuttʰaːnam	43 44 162 52 63 62 62 162 43 158 56 43 55	diagnostics/voices-final/abhyutthanam_hm_psi_s0.80.wav	n/a	long vowel present in tokens	n/a	n/a	ʰ in tokens	3/4 nuclei	marginal	NONE
सृजाम्यहम्	af_heart	0.8	sfjAmyaham	sɾɪɟaːmjaham	61 125 102 90 43 158 55 52 43 50 43 55	diagnostics/voices-final/srjamyaham_af_heart_s0.80.wav	n/a	long vowel present in tokens	approximated ɾɪ	n/a	n/a	4/5 nuclei	marginal	ACOUSTIC_MODEL_LIMITATION:VOCALIC_R
सृजाम्यहम्	hf_alpha	0.8	sfjAmyaham	sɾɪɟaːmjaham	61 125 102 90 43 158 55 52 43 50 43 55	diagnostics/voices-final/srjamyaham_hf_alpha_s0.80.wav	n/a	long vowel present in tokens	approximated ɾɪ	n/a	n/a	8/5 nuclei	OK	ACOUSTIC_MODEL_LIMITATION:VOCALIC_R
सृजाम्यहम्	hf_beta	0.8	sfjAmyaham	sɾɪɟaːmjaham	61 125 102 90 43 158 55 52 43 50 43 55	diagnostics/voices-final/srjamyaham_hf_beta_s0.80.wav	n/a	long vowel present in tokens	approximated ɾɪ	n/a	n/a	6/5 nuclei	OK	ACOUSTIC_MODEL_LIMITATION:VOCALIC_R
सृजाम्यहम्	hm_omega	0.8	sfjAmyaham	sɾɪɟaːmjaham	61 125 102 90 43 158 55 52 43 50 43 55	diagnostics/voices-final/srjamyaham_hm_omega_s0.80.wav	n/a	long vowel present in tokens	approximated ɾɪ	n/a	n/a	4/5 nuclei	marginal	ACOUSTIC_MODEL_LIMITATION:VOCALIC_R
सृजाम्यहम्	hm_psi	0.8	sfjAmyaham	sɾɪɟaːmjaham	61 125 102 90 43 158 55 52 43 50 43 55	diagnostics/voices-final/srjamyaham_hm_psi_s0.80.wav	n/a	long vowel present in tokens	approximated ɾɪ	n/a	n/a	6/5 nuclei	OK	ACOUSTIC_MODEL_LIMITATION:VOCALIC_R
