input	voice	speed	canonical	kokoro_phonemes	token_ids	audio_path	observed_issue	failure_category
सङ्गोऽस्त्वकर्मणि	hf_alpha	1.0	saNgo'stvakarmaRi	saŋɡoːstʋakaɾmaɳi	61 43 112 92 57 158 61 62 136 43 53 43 125 55 43 113 51	diagnostics/voices/sangostvakarmani_hf_alpha.wav	none measured	NONE
सङ्गोऽस्त्वकर्मणि	hf_beta	1.0	saNgo'stvakarmaRi	saŋɡoːstʋakaɾmaɳi	61 43 112 92 57 158 61 62 136 43 53 43 125 55 43 113 51	diagnostics/voices/sangostvakarmani_hf_beta.wav	none measured	NONE
सङ्गोऽस्त्वकर्मणि	hm_omega	1.0	saNgo'stvakarmaRi	saŋɡoːstʋakaɾmaɳi	61 43 112 92 57 158 61 62 136 43 53 43 125 55 43 113 51	diagnostics/voices/sangostvakarmani_hm_omega.wav	syllables merged (6/7 nuclei)	ACOUSTIC_MODEL_LIMITATION
सङ्गोऽस्त्वकर्मणि	hm_psi	1.0	saNgo'stvakarmaRi	saŋɡoːstʋakaɾmaɳi	61 43 112 92 57 158 61 62 136 43 53 43 125 55 43 113 51	diagnostics/voices/sangostvakarmani_hm_psi.wav	syllables merged (6/7 nuclei)	ACOUSTIC_MODEL_LIMITATION
अभ्युत्थानम्	af_heart	1.0	aByutTAnam	abʰjuttʰaːnam	43 44 162 52 63 62 62 162 43 158 56 43 55	diagnostics/voices/abhyutthanam_af_heart.wav	none measured	NONE
अभ्युत्थानम्	hf_alpha	1.0	aByutTAnam	abʰjuttʰaːnam	43 44 162 52 63 62 62 162 43 158 56 43 55	diagnostics/voices/abhyutthanam_hf_alpha.wav	none measured	NONE
अभ्युत्थानम्	hf_beta	1.0	aByutTAnam	abʰjuttʰaːnam	43 44 162 52 63 62 62 162 43 158 56 43 55	diagnostics/voices/abhyutthanam_hf_beta.wav	none measured	NONE
अभ्युत्थानम्	hm_omega	1.0	aByutTAnam	abʰjuttʰaːnam	43 44 162 52 63 62 62 162 43 158 56 43 55	diagnostics/voices/abhyutthanam_hm_omega.wav	syllables merged (3/4 nuclei)	ACOUSTIC_MODEL_LIMITATION
अभ्युत्थानम्	hm_psi	1.0	aByutTAnam	abʰjuttʰaːnam	43 44 162 52 63 62 62 162 43 158 56 43 55	diagnostics/voices/abhyutthanam_hm_psi.wav	syllables merged (3/4 nuclei)	ACOUSTIC_MODEL_LIMITATION
सृजाम्यहम्	af_heart	1.0	sfjAmyaham	sɾɪɟaːmjaham	61 125 102 90 43 158 55 52 43 50 43 55	diagnostics/voices/srjamyaham_af_heart.wav	syllables merged (3/5 nuclei)	ACOUSTIC_MODEL_LIMITATION
सृजाम्यहम्	hf_alpha	1.0	sfjAmyaham	sɾɪɟaːmjaham	61 125 102 90 43 158 55 52 43 50 43 55	diagnostics/voices/srjamyaham_hf_alpha.wav	none measured	NONE
सृजाम्यहम्	hf_beta	1.0	sfjAmyaham	sɾɪɟaːmjaham	61 125 102 90 43 158 55 52 43 50 43 55	diagnostics/voices/srjamyaham_hf_beta.wav	syllables merged (4/5 nuclei)	ACOUSTIC_MODEL_LIMITATION
सृजाम्यहम्	hm_omega	1.0	sfjAmyaham	sɾɪɟaːmjaham	61 125 102 90 43 158 55 52 43 50 43 55	diagnostics/voices/srjamyaham_hm_omega.wav	syllables merged (2/5 nuclei)	ACOUSTIC_MODEL_LIMITATION
सृजाम्यहम्	hm_psi	1.0	sfjAmyaham	sɾɪɟaːmjaham	61 125 102 90 43 158 55 52 43 50 43 55	diagnostics/voices/srjamyaham_hm_psi.wav	syllables merged (2/5 nuclei)	ACOUSTIC_MODEL_LIMITATION
